TXN Date, Value Date, Ref Num, TXN code, Debit, Credit, Balance
2023-04-01 12:42 AM, 03/31/2023, "", CM65 - Credit Memo-Collections, 0.00, 100421.0, 1.403436088E7
2023-04-01 01:49 AM, 03/31/2023, "", INT - Interest, 0.00, 4325.16, 1.403868604E7
2023-04-01 01:49 AM, 03/31/2023, "", TAX - Withholding Tax, 865.03, 0.00, 1.403782101E7
2023-04-03 12:11 PM, 04/03/2023, "2201290113", CD - Cash Deposit, 0.00, 2000.0, 1.403982101E7
2023-04-04 12:45 AM, 04/03/2023, "", CM65 - Credit Memo-Collections, 0.00, 300522.67, 1.434034368E7
2023-04-04 10:31 AM, 04/04/2023, "2160450056", CD - Cash Deposit, 0.00, 2833.33, 1.434317701E7
2023-04-05 12:40 AM, 04/04/2023, "", CM65 - Credit Memo-Collections, 0.00, 127150.0, 1.447032701E7
2023-04-05 03:04 PM, 04/05/2023, "2220740074", CD - Cash Deposit, 0.00, 2000.0, 1.447232701E7
2023-04-06 12:44 AM, 04/05/2023, "", CM65 - Credit Memo-Collections, 0.00, 115800.0, 1.458812701E7
2023-04-11 01:38 PM, 04/11/2023, "2225170081", CD - Cash Deposit, 0.00, 2800.0, 1.459092701E7
2023-04-12 12:47 AM, 04/11/2023, "", CM65 - Credit Memo-Collections, 0.00, 466376.0, 1.505730301E7
2023-04-13 12:45 AM, 04/12/2023, "", CM65 - Credit Memo-Collections, 0.00, 92278.0, 1.514958101E7
2023-04-14 12:46 AM, 04/13/2023, "", CM65 - Credit Memo-Collections, 0.00, 145600.0, 1.529518101E7
2023-04-14 10:08 AM, 04/14/2023, "2211140035", CK1 - Check Deposit - Local, 0.00, 4975.0, 1.530015601E7
2023-04-14 10:10 AM, 04/14/2023, "2211140036", CK1 - Check Deposit - Local, 0.00, 4975.0, 1.530513101E7
2023-04-15 12:52 AM, 04/14/2023, "", CM65 - Credit Memo-Collections, 0.00, 278233.37, 1.558336438E7
2023-04-17 07:12 PM, 04/17/2023, "194988-194988", ATMIPAYC - Instapay Receiving from other bank, 0.00, 18000.0, 1.560136438E7
2023-04-18 12:48 AM, 04/17/2023, "", CM65 - Credit Memo-Collections, 0.00, 1077520.0, 1.667888438E7
